"Participant_ID","Trial_ID","Timestamp_ms","Interval_ms","Action","Input_Method","Slot_ID","Key_Is_Special","Slot_ID_num","Pressed_Key","Expected_Key","Status","Chars_On_Screen","Cumulative_Errors","Browser","System","Is_Mobile","Window_Width_mm","Window_Height_mm","Button_Width_mm","Button_Height_mm","UA"
"_-6jZnZ8VH",1,54659,2198,"KeyPress","mouse","middle-left","NO",2.23606797749979,"B","B","Correct",1,0,"Chrome","Windows",0,442.91,220.93,23.81,16.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
"_-6jZnZ8VH",1,55289,630,"KeyPress","mouse","bottom-right","NO",0.0,"D","D","Correct",2,0,"Chrome","Windows",0,442.91,220.93,23.81,16.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
"_-6jZnZ8VH",1,56174,885,"KeyPress","mouse","middle-right","NO",1.0,"J","J","Correct",3,0,"Chrome","Windows",0,442.91,220.93,23.81,16.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
"_-6jZnZ8VH",1,56459,285,"KeyPress","mouse","top-right","NO",2.0,"E","E","Correct",4,0,"Chrome","Windows",0,442.91,220.93,23.81,16.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
"_-6jZnZ8VH",1,56728,270,"KeyPress","mouse","middle-center","NO",1.4142135623730951,"G","G","Correct",5,0,"Chrome","Windows",0,442.91,220.93,23.81,16.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
"_-6jZnZ8VH",2,57794,1065,"KeyPress","mouse","top-center","NO",2.23606797749979,"8","2","Incorrect",1,1,"Chrome","Windows",0,442.91,220.93,23.81,16.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
"_-6jZnZ8VH",2,59309,1515,"Backspace","mouse","backspace","YES",1.4142135623730951,"BACKSPACE","2","Fix_Error",0,1,"Chrome","Windows",0,442.91,220.93,23.81,16.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
"_-6jZnZ8VH",2,60329,1020,"KeyPress","mouse","bottom-center","NO",1.0,"2","2","Correct",1,1,"Chrome","Windows",0,442.91,220.93,23.81,16.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
"_-6jZnZ8VH",2,60606,277,"KeyPress","mouse","bottom-right","NO",0.0,"3","3","Correct",2,1,"Chrome","Windows",0,442.91,220.93,23.81,16.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
"_-6jZnZ8VH",2,60951,346,"KeyPress","mouse","bottom-isolated","YES",1.4142135623730951,"0","0","Correct",3,1,"Chrome","Windows",0,442.91,220.93,23.81,16.93,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
